Gene_ID,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6,Patient7
ENSG00000223972,16,8,3,11,4,4,12
ENSG00000227232,146,130,135,146,127,122,156
ENSG00000278267,1,3,3,0,7,2,1
ENSG00000243485,2,6,2,4,5,0,6
ENSG00000284332,0,0,0,0,0,0,0
ENSG00000237613,2,0,0,4,0,1,2
ENSG00000268020,0,0,0,0,0,0,0
ENSG00000240361,0,3,0,1,1,0,0
ENSG00000186092,0,3,0,0,1,2,3
ENSG00000238009,59,31,52,40,36,49,38
ENSG00000239945,0,0,0,0,0,0,0
ENSG00000233750,13,12,1,7,11,8,5
ENSG00000268903,8,34,10,40,53,27,62
ENSG00000269981,6,4,1,6,5,5,2
ENSG00000239906,6,13,5,5,6,1,3
ENSG00000241860,143,148,96,162,317,185,220
ENSG00000222623,2,0,0,1,0,2,0
ENSG00000241599,2,0,3,0,3,0,0
ENSG00000279928,9,4,0,7,1,2,2
ENSG00000279457,165,204,150,198,215,184,251
ENSG00000273874,1,3,3,0,7,2,1
ENSG00000228463,279,137,158,116,130,143,190
ENSG00000236679,0,11,2,1,3,0,1
ENSG00000236601,0,0,2,0,0,0,0
ENSG00000237094,93,114,88,88,178,142,169
ENSG00000269732,1,2,3,1,0,0,0
ENSG00000284733,9,8,6,3,2,3,8
ENSG00000233653,6,18,0,12,11,7,3
ENSG00000250575,29,40,13,75,69,43,61
ENSG00000278757,2,0,0,1,0,2,0
ENSG00000230021,36,33,43,40,32,65,62
ENSG00000235146,0,0,0,0,0,0,0
ENSG00000225972,9003,18593,8670,3804,6204,6555,4256
ENSG00000225630,16707,26490,11267,8893,10863,11254,8490
ENSG00000237973,61761,87420,30784,25593,46038,31187,24079
ENSG00000278791,0,0,0,0,0,0,0
ENSG00000229344,9081,12867,9157,7839,5731,4698,3591
ENSG00000240409,1513,1918,451,353,465,580,470
ENSG00000248527,6793,11293,4572,3048,4514,4265,2830
ENSG00000198744,6415,12027,4937,3174,4526,3935,4932
ENSG00000268663,0,2,1,1,0,0,1
ENSG00000284662,10,8,6,3,2,2,8
ENSG00000229376,15,25,2,18,6,12,16
ENSG00000228327,224,280,132,321,500,343,431
ENSG00000223181,0,0,1,1,0,0,0
ENSG00000229905,3,1,1,0,2,1,1
ENSG00000237491,148,182,109,90,151,95,173
ENSG00000285268,0,0,0,0,0,0,0
ENSG00000230092,34,35,16,19,30,29,25
ENSG00000177757,8,18,11,11,11,20,10
ENSG00000228794,251,246,291,264,247,290,248
ENSG00000225880,10,4,7,5,11,14,15
ENSG00000230368,13,14,7,11,16,9,13
ENSG00000234711,4,3,7,7,5,3,4
ENSG00000283040,0,0,0,0,0,0,0
ENSG00000272438,0,2,0,0,0,0,0
ENSG00000230699,0,1,2,2,2,1,0
ENSG00000241180,0,0,0,0,0,0,0
ENSG00000223764,3,10,6,9,9,4,10
ENSG00000187634,1,1,6,5,9,15,2
ENSG00000188976,98,114,74,121,103,169,122
ENSG00000187961,8,29,5,28,20,13,21
ENSG00000187583,1,2,1,0,0,2,0
ENSG00000187642,4,1,2,0,0,3,0
ENSG00000272512,2,2,9,3,4,3,6
ENSG00000188290,6,6,12,12,4,7,1
ENSG00000187608,17,23,14,23,25,27,11
ENSG00000231702,4,2,0,1,0,2,0
ENSG00000224969,2,1,1,3,1,0,5
ENSG00000188157,198,227,247,264,179,232,168
ENSG00000242590,0,0,0,0,0,0,0
ENSG00000217801,3,1,11,8,10,23,12
ENSG00000273443,1,0,2,7,2,0,5
ENSG00000237330,1,1,1,0,0,0,0
ENSG00000131591,29,33,19,35,24,35,35
ENSG00000285812,21,21,9,5,20,14,7
ENSG00000223823,2,6,0,0,3,3,0
ENSG00000207730,0,0,1,0,0,0,0
ENSG00000207607,1,0,3,3,0,0,0
ENSG00000198976,2,0,0,0,0,0,0
ENSG00000272141,0,0,0,1,0,0,0
ENSG00000205231,4,2,2,2,3,0,0
ENSG00000162571,0,2,2,1,0,1,0
ENSG00000186891,0,4,8,3,8,0,0
ENSG00000186827,1,0,1,1,2,0,0
ENSG00000078808,216,164,130,238,197,236,211
ENSG00000176022,30,30,24,30,21,40,56
ENSG00000184163,0,0,4,1,1,0,6
ENSG00000260179,3,4,5,2,9,6,7
ENSG00000160087,71,66,40,84,84,125,76
ENSG00000230415,9,9,5,3,4,2,2
ENSG00000162572,43,51,24,37,35,53,38
ENSG00000131584,685,730,545,684,546,531,393
ENSG00000278073,0,0,0,1,1,0,1
ENSG00000169972,4,6,13,10,11,15,11
ENSG00000127054,115,162,114,186,200,155,138
ENSG00000283712,0,0,0,0,0,0,0
ENSG00000240731,15,16,11,16,20,11,14
ENSG00000224051,14,27,18,33,21,23,26
ENSG00000169962,4,5,6,2,7,2,3
ENSG00000107404,138,186,151,178,193,223,185
ENSG00000284372,0,0,0,0,0,0,0
ENSG00000162576,47,72,42,60,66,26,32
ENSG00000175756,27,23,6,21,13,32,25
ENSG00000223663,0,0,0,2,1,0,1
ENSG00000221978,334,475,219,290,426,434,443
ENSG00000224870,7,33,13,22,19,31,36
ENSG00000242485,56,70,36,62,61,71,24
ENSG00000264293,0,0,0,0,0,0,0
ENSG00000272455,14,15,24,17,32,16,21
ENSG00000235098,19,16,8,18,30,14,30
ENSG00000225905,0,1,0,0,0,0,0
ENSG00000205116,2,0,1,0,1,0,1
ENSG00000225285,1,4,1,1,3,0,0
ENSG00000179403,34,62,31,43,127,49,87
ENSG00000215915,17,23,12,16,23,9,22
ENSG00000160072,43,79,39,81,70,50,66
ENSG00000284740,2,7,1,2,0,1,0
ENSG00000197785,29,31,26,30,20,37,45
ENSG00000205090,11,7,12,21,13,24,11
ENSG00000160075,204,131,110,237,208,207,305
ENSG00000215014,7,6,11,6,7,5,6
ENSG00000274481,0,0,1,0,0,0,0
ENSG00000228594,21,21,25,44,18,40,20
ENSG00000272106,23,35,33,41,30,37,34
ENSG00000197530,79,87,66,74,91,89,43
ENSG00000189409,2,1,3,3,6,2,0
ENSG00000248333,146,183,129,130,196,172,179
ENSG00000272004,0,1,0,2,1,1,1
ENSG00000189339,584,1010,539,774,594,720,785
ENSG00000269737,44,29,15,19,29,16,22
ENSG00000215914,1,0,3,2,5,2,0
ENSG00000008128,22,31,32,21,29,23,23
ENSG00000268575,30,35,16,14,32,31,18
ENSG00000227775,6,11,4,6,18,9,14
ENSG00000215790,467,670,533,458,417,475,482
ENSG00000008130,125,166,104,126,142,158,120
ENSG00000078369,2317,3304,2151,2424,2089,3114,2154
ENSG00000231050,5,4,2,7,1,2,0
ENSG00000169885,0,3,0,2,0,2,4
ENSG00000178821,1,0,2,2,2,4,2
ENSG00000142609,42,65,37,47,36,40,26
ENSG00000233542,13,4,14,2,7,5,5
ENSG00000187730,168,159,130,281,131,266,70
ENSG00000226969,0,0,0,0,0,0,0
ENSG00000067606,249,318,194,291,209,370,298
ENSG00000271806,9,22,15,25,34,9,15
ENSG00000182873,24,28,10,17,26,12,24
ENSG00000162585,56,55,32,45,51,50,47
ENSG00000234396,0,0,0,0,0,0,0
ENSG00000157933,381,486,375,327,385,343,384
ENSG00000116151,75,82,94,74,72,79,58
ENSG00000272161,0,0,0,0,1,0,0
ENSG00000269896,18,25,12,21,14,10,13
