Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Anterior/Posterior Pattern Specification (GO:0009952),5/59,0.00030724672721336934,0.2250046842217324,0,0,9.376068376068377,75.83232332652554,SKI;HES3;HES2;HES5;HES4
GO_Biological_Process_2023,Sensory Perception Of Taste (GO:0050909),3/17,0.0006040394207294829,0.2250046842217324,0,0,21.522117476432197,159.51916044937724,SCNN1D;TAS1R1;TAS1R3
GO_Biological_Process_2023,Purine Nucleoside Bisphosphate Biosynthetic Process (GO:0034033),2/10,0.0042472321345398,0.5620057616930447,0,0,24.98989898989899,136.4820277236255,PANK4;ACOT7
GO_Biological_Process_2023,Coenzyme A Biosynthetic Process (GO:0015937),2/10,0.0042472321345398,0.5620057616930447,0,0,24.98989898989899,136.4820277236255,PANK4;ACOT7
GO_Biological_Process_2023,Ribonucleoside Bisphosphate Biosynthetic Process (GO:0034030),2/10,0.0042472321345398,0.5620057616930447,0,0,24.98989898989899,136.4820277236255,PANK4;ACOT7
GO_Biological_Process_2023,Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702),3/38,0.0064242870484076,0.5620057616930447,0,0,8.599709934735316,43.40849457481817,TNFRSF14;TNFRSF4;VAMP3
GO_Biological_Process_2023,Coenzyme A Metabolic Process (GO:0015936),2/15,0.0095900084936835,0.5620057616930447,0,0,15.374514374514376,71.44588341233826,PANK4;ACOT7
GO_Biological_Process_2023,Regulation Of Nervous System Development (GO:0051960),3/46,0.0109060303385555,0.5620057616930447,0,0,6.996930704757408,31.61520738006147,HES3;HES2;HES5
GO_Biological_Process_2023,Neural Tube Development (GO:0021915),2/17,0.0122596808748648,0.5620057616930447,0,0,13.323232323232324,58.64139939765107,DVL1;HES5
GO_Biological_Process_2023,Regulation Of Cell Development (GO:0060284),3/52,0.0152014163710364,0.5620057616930447,0,0,6.1382989744121,25.697170256408317,HES3;HES2;HES5
GO_Biological_Process_2023,NADP Metabolic Process (GO:0006739),2/19,0.0152144484017713,0.5620057616930447,0,0,11.754604872251932,49.19901329869125,KCNAB2;NADK
