Gene,Degree_Centrality,Betweenness_Centrality
UBE2J2,0.22115384615384617,0.055194532475131175
WRAP73,0.21153846153846156,0.03804703427598466
ACOT7,0.21153846153846156,0.030217248525146557
PRDM16,0.19230769230769232,0.031082557166437156
ACAP3,0.19230769230769232,0.035547505002397804
NOL9,0.1826923076923077,0.04057134491424997
KLHL17,0.1826923076923077,0.024156882429342195
RNF207,0.17307692307692307,0.04097018089477723
PLEKHN1,0.17307692307692307,0.033764926353282536
DVL1,0.17307692307692307,0.031046348420941252
AJAP1,0.17307692307692307,0.015066736364390234
MEGF6,0.16346153846153846,0.025752630222332748
GABRD,0.16346153846153846,0.030967882288949727
PUSL1,0.16346153846153846,0.017007741633876847
GNB1,0.16346153846153846,0.06930190713821709
KCNAB2,0.16346153846153846,0.026886532189113053
CPTP,0.16346153846153846,0.03809310194813183
CEP104,0.15384615384615385,0.01913749962685632
SCNN1D,0.15384615384615385,0.022525609030986767
TPRG1L,0.15384615384615385,0.004109754304203136
TP73,0.15384615384615385,0.01324924102080723
LRRC47,0.15384615384615385,0.024505918299874682
CALML6,0.15384615384615385,0.056030082886803216
THAP3,0.15384615384615385,0.019038886552318487
INTS11,0.14423076923076925,0.03528036910654471
NOC2L,0.14423076923076925,0.019209307801774846
ARHGEF16,0.14423076923076925,0.00811222168655819
ACTRT2,0.14423076923076925,0.02886272029778774
CCDC27,0.13461538461538464,0.01432498875241991
SAMD11,0.13461538461538464,0.01042632645375548
DNAJC11,0.13461538461538464,0.025017402343050894
C1orf174,0.125,0.011480071415599785
GPR153,0.125,0.00795396571193435
TTLL10,0.125,0.014928516206167461
ESPN,0.11538461538461539,0.006453265398612881
PARK7,0.11538461538461539,0.028756958287004607
TAS1R3,0.11538461538461539,0.010743989132625566
KLHL21,0.11538461538461539,0.007979383889750247
VWA1,0.11538461538461539,0.017115977055754097
CAMTA1,0.11538461538461539,0.028383601196614393
ICMT,0.11538461538461539,0.010062942738200418
MIB2,0.10576923076923078,0.020436241046329746
PRKCZ,0.10576923076923078,0.010650450061834507
ATAD3A,0.10576923076923078,0.004493318011396338
ATAD3B,0.10576923076923078,0.005954083361483533
AGRN,0.09615384615384616,0.01763122073627477
HES4,0.09615384615384616,0.013226156672525202
MXRA8,0.09615384615384616,0.01237252661058681
DFFB,0.09615384615384616,0.0028835415237145863
TNFRSF9,0.09615384615384616,0.01861749583084475
PANK4,0.09615384615384616,0.01389366238013021
PLCH2,0.09615384615384616,0.035892540304931206
CFAP74,0.09615384615384616,0.010912090656596037
RPL22,0.09615384615384616,0.014941764546302696
TNFRSF25,0.09615384615384616,0.010644720322128265
RER1,0.09615384615384616,0.0035652419668180248
ISG15,0.08653846153846154,0.01926120669997223
SLC35E2A,0.08653846153846154,0.008146450000840756
NPHP4,0.08653846153846154,0.005442573482491034
PLEKHG5,0.08653846153846154,0.005710760840194133
SSU72,0.08653846153846154,0.00934140743344911
SKI,0.07692307692307693,0.006476971311664816
SDF4,0.07692307692307693,0.007389649752612289
TAS1R1,0.07692307692307693,0.004479011459799444
SLC35E2B,0.07692307692307693,0.004023776643003138
CHD5,0.07692307692307693,0.004366564543632047
ZBTB48,0.07692307692307693,0.014460520721606652
CDK11B,0.07692307692307693,0.010941603901036856
MMP23B,0.06730769230769232,0.007126989041497842
C1orf159,0.06730769230769232,0.005966473592737038
MRPL20,0.06730769230769232,0.004674470868877933
TNFRSF18,0.06730769230769232,0.006506934047034736
PERM1,0.06730769230769232,0.006710500437494438
TNFRSF4,0.057692307692307696,0.0025355725911765633
AURKAIP1,0.057692307692307696,0.00480915451063202
B3GALT6,0.057692307692307696,0.005911525369894596
PEX10,0.057692307692307696,0.0034216267997623376
MMEL1,0.057692307692307696,0.018446347073394365
TNFRSF14,0.057692307692307696,0.004132550508440666
C1QTNF12,0.057692307692307696,0.0033615450987298854
UTS2,0.057692307692307696,0.006568303649852109
CDK11A,0.04807692307692308,0.003854555245541772
VAMP3,0.04807692307692308,0.0046082381449719535
NADK,0.04807692307692308,0.02103123607460475
HES3,0.04807692307692308,0.006523734910149956
PHF13,0.04807692307692308,0.001833925194560971
HES5,0.038461538461538464,0.002223194307304139
MORN1,0.038461538461538464,0.0004077284292161506
TMEM52,0.038461538461538464,0.0011255364107305853
OR4F5,0.038461538461538464,0.00128063113357231
CCNL2,0.038461538461538464,0.0013047934136433017
ERRFI1,0.038461538461538464,0.002033929203606937
ANKRD65,0.028846153846153848,0.0003257583840108112
ATAD3C,0.028846153846153848,0.00040778029213209114
PER3,0.028846153846153848,0.0
HES2,0.028846153846153848,0.0006490642783062152
OR4F16,0.019230769230769232,0.019230769230769232
PRXL2B,0.019230769230769232,0.0006174993935472269
SMIM1,0.019230769230769232,0.0
TTC34,0.019230769230769232,0.0010307219923702813
OR4F29,0.009615384615384616,0.0
FAAP20,0.009615384615384616,0.0
TMEM240,0.009615384615384616,0.0
RNF223,0.009615384615384616,0.0
FNDC10,0.009615384615384616,0.0
