Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Phototransduction,2/28,0.0317180982356202,0.919228235428398,0,0,7.682206682206682,26.51027997028578,CALML6;GNB1
KEGG_2021_Human,Human papillomavirus infection,7/331,0.049244845848273,0.919228235428398,0,0,2.180195739781232,6.564461604680897,DVL1;ISG15;HES3;PRKCZ;HES2;HES5;HES4
KEGG_2021_Human,Circadian entrainment,3/97,0.0734906143235922,0.919228235428398,0,0,3.1924613889188898,8.33423196719981,PER3;CALML6;GNB1
KEGG_2021_Human,Notch signaling pathway,2/59,0.1177356082636544,0.919228235428398,0,0,3.4986709197235513,7.484754897547597,DVL1;HES5
KEGG_2021_Human,Cytokine-cytokine receptor interaction,5/295,0.1742205696044136,0.919228235428398,0,0,1.7250221043324492,3.01436079431294,TNFRSF9;TNFRSF18;TNFRSF14;TNFRSF25;TNFRSF4
KEGG_2021_Human,Terpenoid backbone biosynthesis,1/22,0.1984625719282345,0.919228235428398,0,0,4.732950466618808,7.653913334056085,ICMT
KEGG_2021_Human,Taste transduction,2/86,0.2125388044387241,0.919228235428398,0,0,2.370851370851371,3.671573213687656,TAS1R1;TAS1R3
KEGG_2021_Human,Hippo signaling pathway,3/163,0.2235253518195274,0.919228235428398,0,0,1.869289340101523,2.8006261912580666,DVL1;PRKCZ;TP73
KEGG_2021_Human,GABAergic synapse,2/89,0.2235550003741977,0.919228235428398,0,0,2.2887495646116336,3.428770706989903,GNB1;GABRD
KEGG_2021_Human,Morphine addiction,2/91,0.2309239500321694,0.919228235428398,0,0,2.237090001134945,3.2788286401533377,GNB1;GABRD
KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,1/27,0.2377920775242915,0.919228235428398,0,0,3.821801314263626,5.489477227235043,ACOT7
KEGG_2021_Human,Fatty acid elongation,1/27,0.2377920775242915,0.919228235428398,0,0,3.821801314263626,5.489477227235043,ACOT7
KEGG_2021_Human,Circadian rhythm,1/31,0.2678682819607093,0.919228235428398,0,0,3.3115577889447234,4.362182296847866,PER3
KEGG_2021_Human,Melanogenesis,2/101,0.2679338809157927,0.919228235428398,0,0,2.01010101010101,2.647333266062948,CALML6;DVL1
KEGG_2021_Human,SNARE interactions in vesicular transport,1/33,0.2824605485993796,0.919228235428398,0,0,3.1042713567839195,3.9244707255325473,VAMP3
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,1/35,0.2967633987534311,0.919228235428398,0,0,2.9213715637008573,3.54894088012851,NADK
KEGG_2021_Human,Nicotine addiction,1/40,0.3312915354401823,0.919228235428398,0,0,2.54619250096637,2.8129227654318845,GABRD
KEGG_2021_Human,Neurotrophin signaling pathway,2/119,0.3342934948533607,0.919228235428398,0,0,1.6993006993006994,1.8619848571697335,CALML6;TP73
KEGG_2021_Human,Relaxin signaling pathway,2/129,0.3704684745885532,0.919228235428398,0,0,1.5647021395052891,1.5537287687021244,GNB1;PRKCZ
KEGG_2021_Human,Type II diabetes mellitus,1/46,0.3705054405101429,0.919228235428398,0,0,2.2060301507537687,2.1903389894516705,PRKCZ
KEGG_2021_Human,Carbohydrate digestion and absorption,1/47,0.376814886705751,0.919228235428398,0,0,2.1579637317019884,2.1061752538856453,TAS1R3
KEGG_2021_Human,Dopaminergic synapse,2/132,0.3811748654446817,0.919228235428398,0,0,1.5283605283605284,1.4740992128790684,CALML6;GNB1
KEGG_2021_Human,Apelin signaling pathway,2/137,0.3988450044858849,0.919228235428398,0,0,1.4713804713804717,1.3524670293145111,CALML6;GNB1
KEGG_2021_Human,Insulin signaling pathway,2/137,0.3988450044858849,0.919228235428398,0,0,1.4713804713804717,1.3524670293145111,CALML6;PRKCZ
KEGG_2021_Human,Fluid shear stress and atherosclerosis,2/139,0.4058480895063414,0.919228235428398,0,0,1.44975300449753,1.3073529773997317,CALML6;PRKCZ
KEGG_2021_Human,Glycosaminoglycan biosynthesis,1/53,0.4133717413870322,0.919228235428398,0,0,1.9083880943177425,1.6858852917962188,B3GALT6
KEGG_2021_Human,Breast cancer,2/147,0.433457636286527,0.919228235428398,0,0,1.369209334726576,1.1446058954410874,DVL1;HES5
KEGG_2021_Human,Retrograde endocannabinoid signaling,2/148,0.436861177553996,0.919228235428398,0,0,1.35976200359762,1.1260730416696714,GNB1;GABRD
KEGG_2021_Human,Olfactory transduction,5/440,0.4500331701042228,0.919228235428398,0,0,1.141467727674624,0.9113866295143748,OR4F16;CALML6;GNB1;OR4F29;OR4F5
KEGG_2021_Human,Parkinson disease,3/249,0.4550270635981816,0.919228235428398,0,0,1.2104741859601338,0.9531254147085364,CALML6;PARK7;UBE2J2
