stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000054650	9606.ENSP00000383719	THAP3	UBE2J2	9606	0.205	0	0	0	0.162	0	0	0.091
9606.ENSP00000054650	9606.ENSP00000346088	THAP3	RPL22	9606	0.23	0	0	0	0	0	0	0.23
9606.ENSP00000054650	9606.ENSP00000262450	THAP3	CHD5	9606	0.257	0	0	0	0.045	0	0	0.254
9606.ENSP00000054650	9606.ENSP00000306522	THAP3	CAMTA1	9606	0.266	0	0	0	0.049	0	0	0.26
9606.ENSP00000054650	9606.ENSP00000367323	THAP3	KCNAB2	9606	0.268	0	0	0	0.055	0	0	0.257
9606.ENSP00000054650	9606.ENSP00000366876	THAP3	PHF13	9606	0.275	0	0	0	0.082	0	0	0.243
9606.ENSP00000054650	9606.ENSP00000339524	THAP3	DFFB	9606	0.283	0	0	0	0.093	0	0	0.242
9606.ENSP00000054650	9606.ENSP00000367398	THAP3	NPHP4	9606	0.284	0	0	0	0.045	0	0	0.281
9606.ENSP00000054650	9606.ENSP00000439625	THAP3	PLEKHG5	9606	0.288	0	0	0	0.05	0	0	0.281
9606.ENSP00000054650	9606.ENSP00000367433	THAP3	AJAP1	9606	0.31	0	0	0	0	0	0	0.31
9606.ENSP00000054650	9606.ENSP00000343552	THAP3	ICMT	9606	0.323	0	0	0	0.049	0	0	0.317
9606.ENSP00000054650	9606.ENSP00000367173	THAP3	RNF207	9606	0.339	0	0	0	0.049	0	0	0.333
9606.ENSP00000054650	9606.ENSP00000367086	THAP3	ACOT7	9606	0.358	0	0	0	0.042	0	0	0.357
9606.ENSP00000054650	9606.ENSP00000367013	THAP3	TNFRSF25	9606	0.385	0	0	0	0.042	0	0	0.385
9606.ENSP00000054650	9606.ENSP00000366886	THAP3	KLHL21	9606	0.428	0	0	0	0.049	0	0	0.423
9606.ENSP00000054650	9606.ENSP00000366800	THAP3	DNAJC11	9606	0.628	0	0	0	0.05	0	0	0.625
9606.ENSP00000054666	9606.ENSP00000368678	VAMP3	AGRN	9606	0.233	0	0	0	0.042	0	0	0.232
9606.ENSP00000054666	9606.ENSP00000482093	VAMP3	PER3	9606	0.275	0	0.075	0	0.042	0	0	0.248
9606.ENSP00000054666	9606.ENSP00000054668	VAMP3	UTS2	9606	0.275	0	0	0	0.044	0	0	0.273
9606.ENSP00000054666	9606.ENSP00000340278	VAMP3	PARK7	9606	0.438	0	0	0	0.057	0.075	0	0.408
9606.ENSP00000054666	9606.ENSP00000306522	VAMP3	CAMTA1	9606	0.66	0	0.418	0	0.053	0	0	0.433
9606.ENSP00000054668	9606.ENSP00000478699	UTS2	TNFRSF9	9606	0.249	0	0	0	0.047	0	0	0.244
9606.ENSP00000054668	9606.ENSP00000304643	UTS2	CALML6	9606	0.25	0	0	0	0	0	0	0.25
9606.ENSP00000054668	9606.ENSP00000366702	UTS2	ERRFI1	9606	0.252	0	0	0	0.06	0	0	0.237
9606.ENSP00000054668	9606.ENSP00000306522	UTS2	CAMTA1	9606	0.271	0	0	0	0	0	0	0.271
9606.ENSP00000054668	9606.ENSP00000482093	UTS2	PER3	9606	0.271	0	0	0	0	0	0	0.271
9606.ENSP00000262450	9606.ENSP00000367433	CHD5	AJAP1	9606	0.202	0	0	0	0.084	0	0	0.165
9606.ENSP00000262450	9606.ENSP00000417061	CHD5	CFAP74	9606	0.21	0	0	0	0.058	0.187	0	0.052
9606.ENSP00000262450	9606.ENSP00000367398	CHD5	NPHP4	9606	0.211	0	0	0	0.103	0.091	0	0.11
9606.ENSP00000262450	9606.ENSP00000367173	CHD5	RNF207	9606	0.227	0	0	0	0.053	0.058	0	0.203
9606.ENSP00000262450	9606.ENSP00000270722	CHD5	PRDM16	9606	0.228	0	0	0	0.106	0.102	0	0.116
9606.ENSP00000262450	9606.ENSP00000367848	CHD5	GABRD	9606	0.364	0	0	0	0.261	0.055	0	0.163
9606.ENSP00000262450	9606.ENSP00000306522	CHD5	CAMTA1	9606	0.405	0	0	0	0.067	0	0	0.389
9606.ENSP00000270708	9606.ENSP00000367433	WRAP73	AJAP1	9606	0.2	0	0	0	0.044	0	0	0.198
9606.ENSP00000270708	9606.ENSP00000366800	WRAP73	DNAJC11	9606	0.218	0	0	0	0.06	0	0	0.203
9606.ENSP00000270708	9606.ENSP00000367900	WRAP73	CDK11A	9606	0.218	0	0	0	0.062	0	0	0.201
9606.ENSP00000270708	9606.ENSP00000445001	WRAP73	INTS11	9606	0.223	0	0	0	0.223	0	0	0
9606.ENSP00000270708	9606.ENSP00000383719	WRAP73	UBE2J2	9606	0.232	0	0	0	0.1	0	0	0.182
9606.ENSP00000270708	9606.ENSP00000339524	WRAP73	DFFB	9606	0.24	0	0	0	0.183	0	0	0.108
9606.ENSP00000270708	9606.ENSP00000498888	WRAP73	PANK4	9606	0.251	0	0	0	0.251	0	0	0
9606.ENSP00000270708	9606.ENSP00000317992	WRAP73	NOC2L	9606	0.254	0	0	0	0.149	0	0	0.16
9606.ENSP00000270708	9606.ENSP00000367658	WRAP73	ACTRT2	9606	0.275	0	0	0	0	0	0	0.275
9606.ENSP00000270708	9606.ENSP00000496593	WRAP73	ESPN	9606	0.284	0	0	0	0.045	0	0	0.281
9606.ENSP00000270708	9606.ENSP00000270722	WRAP73	PRDM16	9606	0.315	0	0	0	0.042	0	0	0.315
9606.ENSP00000270708	9606.ENSP00000367476	WRAP73	CEP104	9606	0.335	0	0	0	0.06	0	0	0.321
9606.ENSP00000270708	9606.ENSP00000367545	WRAP73	TP73	9606	0.36	0	0	0	0.049	0	0	0.355
9606.ENSP00000270708	9606.ENSP00000294600	WRAP73	CCDC27	9606	0.365	0	0	0	0	0	0	0.365
9606.ENSP00000270708	9606.ENSP00000367086	WRAP73	ACOT7	9606	0.376	0	0	0	0.049	0	0	0.371
9606.ENSP00000270708	9606.ENSP00000355306	WRAP73	C1orf174	9606	0.392	0	0	0	0.16	0	0	0.306
9606.ENSP00000270708	9606.ENSP00000367125	WRAP73	GPR153	9606	0.398	0	0	0	0.042	0	0	0.398
9606.ENSP00000270708	9606.ENSP00000475168	WRAP73	RER1	9606	0.402	0	0	0	0.064	0	0	0.387
9606.ENSP00000270708	9606.ENSP00000367498	WRAP73	LRRC47	9606	0.418	0	0	0	0.081	0	0	0.393
9606.ENSP00000270708	9606.ENSP00000367629	WRAP73	ARHGEF16	9606	0.465	0	0	0	0.049	0	0	0.46
9606.ENSP00000270708	9606.ENSP00000367595	WRAP73	TPRG1L	9606	0.549	0	0	0	0.06	0	0	0.54
9606.ENSP00000270708	9606.ENSP00000348982	WRAP73	MEGF6	9606	0.889	0	0.126	0	0.042	0.053	0	0.877
9606.ENSP00000270722	9606.ENSP00000367830	PRDM16	PRKCZ	9606	0.219	0	0	0	0.056	0.071	0	0.181
9606.ENSP00000270722	9606.ENSP00000367848	PRDM16	GABRD	9606	0.22	0	0	0	0.056	0.05	0	0.2
9606.ENSP00000270722	9606.ENSP00000367323	PRDM16	KCNAB2	9606	0.228	0	0	0	0.049	0.08	0	0.189
9606.ENSP00000270722	9606.ENSP00000475168	PRDM16	RER1	9606	0.228	0	0	0	0	0.042	0	0.227
9606.ENSP00000270722	9606.ENSP00000496593	PRDM16	ESPN	9606	0.23	0	0	0	0.044	0.091	0	0.185
9606.ENSP00000270722	9606.ENSP00000306522	PRDM16	CAMTA1	9606	0.244	0	0	0	0.049	0.044	0	0.235
9606.ENSP00000270722	9606.ENSP00000348982	PRDM16	MEGF6	9606	0.25	0	0	0	0.056	0.095	0	0.193
9606.ENSP00000270722	9606.ENSP00000367476	PRDM16	CEP104	9606	0.251	0	0	0	0.044	0	0	0.249
